t_ms,pmw_dx_counts,pmw_dy_counts,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,ir_adc,gt_x_mm,gt_y_mm,gt_heading_deg,gt_speed_mm_s,recon_x_mm,recon_y_mm
11360,2786,1,-98.2464,0.1913,0.7787,0.9889,3872,11132.95,21371.36,-175.95,2360.1,-1557.88,-2632.89
11370,2755,24,-122.8963,-0.0262,0.8056,1.0144,3941,11109.81,21369.36,-177.18,2333.7,-1580.98,-2629.56
11380,2754,25,-156.568,0.0077,0.7965,0.9957,3773,11086.66,21367.14,181.25,2331.5,-1603.99,-2625.72
11390,2753,9,-198.0235,0.0197,0.7741,0.9931,4102,11063.49,21367.66,179.27,2331.3,-1626.84,-2621.09
11400,2755,-29,-238.5923,0.0428,0.7931,0.9885,3817,11040.19,21369.5,176.88,2332.9,-1649.45,-2615.31
11410,2760,-75,-266.58,0.4459,0.7908,1.0101,4443,11016.61,21371.63,174.21,2336.5,-1671.71,-2608.19
11420,2805,-124,-280.736,-0.2685,0.8009,1.0154,3975,10992.91,21374.13,171.4,2374.2,-1693.81,-2599.51
11430,2774,-158,-271.0762,-0.0178,0.7829,1.0042,4143,10969.28,21376.97,168.69,2349.5,-1715.11,-2589.6
11440,2775,-173,-242.3375,0.0302,0.7823,1.0021,4057,10946.17,21382.43,166.26,2349.2,-1735.89,-2578.61
11450,2777,-161,-201.0168,0.0159,0.7825,1.01,4138,10923.42,21389.62,164.25,2350.8,-1756.27,-2566.85
11460,2781,-123,-149.2251,0.4465,0.8074,0.9953,3890,10900.86,21396.69,162.75,2354.3,-1776.44,-2554.7
11470,2823,-80,-120.0096,-0.4448,0.7857,1.0138,3893,10878.57,21403.44,161.55,2391.6,-1796.8,-2542.17
11480,2777,-34,-102.7234,0.0026,0.8061,1.0065,3898,10856.28,21409.87,160.52,2351.4,-1816.78,-2529.78
11490,2777,6,-105.3629,0.0019,0.7851,0.9971,4304,10834.5,21417.65,159.46,2351.0,-1836.71,-2517.31
11500,2778,26,-127.2094,0.0307,0.7869,1.0016,4222,10813.26,21427.19,158.19,2352.5,-1856.51,-2504.59
11510,2784,26,-164.405,0.4573,0.7981,1.0174,4102,10791.71,21436.68,156.54,2355.9,-1876.04,-2491.37
11520,2828,4,-202.3915,-0.3249,0.7894,0.9973,3584,10770.0,21446.22,154.51,2393.2,-1895.34,-2477.19
11530,2798,-41,-246.0641,-0.0138,0.7802,0.9992,3834,10748.31,21455.92,152.05,2367.1,-1913.67,-2462.17
11540,2793,-91,-271.8151,0.0157,0.8045,0.9907,4247,10727.42,21467.05,149.33,2364.4,-1931.0,-2446.08
11550,2794,-133,-277.4684,0.0201,0.791,1.0054,4189,10708.01,21480.78,146.55,2365.8,-1947.29,-2428.93
11560,2799,-163,-260.2481,-0.1571,0.7974,0.9853,4180,10688.87,21494.73,143.94,2369.1,-1962.59,-2410.82
11570,2782,-170,-227.4327,-0.3382,0.7878,1.0007,3860,10670.14,21508.66,141.66,2355.5,-1976.94,-2392.13
11580,2748,-153,-189.8171,-0.0317,0.8053,1.0093,3987,10651.6,21522.55,139.76,2325.8,-1990.5,-2373.21
11590,2743,-121,-150.0407,0.01,0.79,0.9884,3831,10633.58,21536.98,138.26,2323.3,-2003.66,-2354.07
11600,2746,-73,-119.8142,0.0309,0.7891,0.99,4224,10617.44,21553.67,137.06,2324.4,-2016.69,-2334.81
11610,2749,-25,-106.9435,0.4515,0.7994,0.9986,3531,10600.89,21570.31,135.99,2327.8,-2029.68,-2315.5
11620,2793,13,-105.3897,0.1875,0.7863,0.9963,4071,10583.83,21586.95,134.93,2365.5,-2042.77,-2295.8
11630,2809,31,-134.7375,-0.0192,0.796,0.99,4226,10566.46,21603.49,133.58,2379.9,-2055.68,-2275.81
11640,2807,22,-175.9424,-0.01,0.7873,1.0076,3892,10549.3,21620.27,131.82,2377.6,-2068.0,-2255.48
11650,2811,-10,-220.2583,0.0273,0.7971,0.9955,3934,10534.81,21639.38,129.61,2378.5,-2079.44,-2234.6
11660,2811,-54,-254.4302,-0.0257,0.7861,1.0284,4484,10520.57,21658.49,127.07,2381.6,-2089.69,-2213.12
11670,2811,-101,-266.3148,-0.6335,0.7718,0.9972,3814,10506.82,21677.48,124.4,2380.6,-2098.6,-2191.05
11680,2749,-144,-275.5004,-0.0363,0.7951,0.9819,3980,10493.46,21696.52,121.64,2327.9,-2105.95,-2168.96
11690,2747,-168,-255.8361,-0.0171,0.7979,1.0146,3972,10480.37,21715.71,119.08,2325.3,-2112.05,-2146.51
11700,2743,-169,-221.0642,0.0132,0.7838,0.9726,4009,10470.86,21736.98,116.86,2324.7,-2117.16,-2123.84
11710,2750,-147,-180.6005,0.3877,0.7909,1.0062,3843,10461.38,21758.45,115.06,2329.4,-2121.62,-2100.98
11720,2791,-108,-137.6157,0.1052,0.8064,0.9873,3885,10451.8,21779.82,113.68,2362.2,-2125.79,-2077.71
11730,2802,-56,-106.6292,-0.0306,0.8025,1.0033,4325,10442.04,21800.93,112.61,2371.7,-2129.87,-2054.35
11740,2798,-12,-98.7935,-0.0199,0.7841,0.9731,4294,10431.96,21821.88,111.62,2369.3,-2133.9,-2031.0
11750,2796,21,-110.8927,0.0193,0.7951,1.0062,3980,10424.61,21843.9,110.5,2368.7,-2137.78,-2007.64
11760,2800,31,-141.2753,0.0266,0.8109,0.9973,3957,10417.55,21866.26,109.09,2370.0,-2141.27,-1984.18
11770,2804,21,-179.4621,-0.6485,0.7554,0.9944,3842,10410.23,21889.05,107.29,2374.1,-2144.06,-1960.59
11780,2740,-26,-242.2818,-0.0462,0.8067,0.9891,3955,10402.84,21912.33,104.86,2321.3,-2145.62,-1937.44
11790,2738,-76,-282.6462,0.0017,0.8029,0.9942,3792,10395.56,21936.11,102.03,2318.6,-2145.75,-1914.26
11800,2738,-130,-303.7119,0.0113,0.7966,0.9822,4096,10392.01,21961.08,98.99,2317.9,-2144.26,-1891.12
11810,2742,-169,-299.2205,0.4437,0.7951,1.0202,4170,10389.65,21986.73,96.0,2322.4,-2141.21,-1868.1
11820,2787,-180,-258.9572,0.446,0.7588,0.9957,4088,10387.58,22012.83,93.4,2360.2,-2136.86,-1844.9
11830,2830,-163,-207.9045,0.0206,0.777,1.0119,4235,10385.61,22039.31,91.32,2397.4,-2131.57,-1821.52
11840,2833,-119,-158.0206,0.0256,0.8025,1.0115,4031,10384.36,22066.19,89.74,2398.8,-2125.85,-1798.22
11850,2835,-60,-121.8599,0.0418,0.808,1.0016,3958,10386.31,22093.57,88.52,2399.9,-2120.01,-1774.94
11860,2838,-5,-108.9786,-0.2996,0.7758,1.0112,4169,10387.8,22121.36,87.42,2402.7,-2114.13,-1751.64
11870,2747,15,-154.7316,-0.0296,0.7828,0.9877,4089,10388.85,22149.67,85.87,2324.7,-2108.14,-1729.16
11880,2741,8,-211.3537,-0.0103,0.7905,0.9984,4300,10389.64,22178.5,83.76,2322.0,-2101.46,-1706.92
11890,2743,-35,-279.4555,0.031,0.8151,1.0131,3929,10395.04,22207.18,80.96,2322.3,-2093.55,-1685.08
11900,2748,-99,-335.9285,0.4579,0.804,1.0035,3682,10401.34,22236.22,77.6,2325.5,-2084.03,-1663.85
11910,2755,-159,-353.157,-0.0334,0.8076,0.9958,3768,10408.26,22265.56,74.06,2332.9,-2072.79,-1643.41
11920,2753,-195,-337.1626,-0.0106,0.8005,1.009,3797,10415.72,22294.77,70.68,2330.1,-2060.07,-1623.87
11930,2752,-190,-278.0579,0.0536,0.8228,0.9979,4018,10427.58,22322.16,67.9,2330.3,-2046.31,-1605.05
11940,2756,-147,-209.0247,0.4512,0.7936,0.9989,3880,10440.08,22349.21,65.81,2333.3,-2031.96,-1586.63
11950,2844,-68,-111.4433,0.4529,0.6729,1.0097,4012,10452.27,22376.38,64.69,2408.1,-2017.1,-1567.69
11960,2887,-1,-86.1612,0.4621,0.7072,1.0144,3871,10464.05,22404.01,63.83,2444.6,-2002.11,-1548.38
11970,2970,36,-108.8051,0.4422,0.7223,0.987,3913,10478.5,22430.41,62.73,2516.0,-1986.6,-1528.58
11980,3013,35,-162.0118,0.4451,0.7516,1.0136,4241,10493.02,22456.27,61.11,2550.9,-1970.42,-1508.84
11990,3092,54,-66.0013,0.4434,0.0008,1.012,4014,10507.28,22481.64,60.45,2619.5,-1953.46,-1488.88
12000,3134,1,-84.7422,0.4599,0.0152,1.0052,4309,10521.66,22506.6,59.6,2653.1,-1935.68,-1469.18
12010,3211,-64,-106.4992,0.447,0.0608,1.0178,3970,10536.46,22531.3,58.53,2719.0,-1916.74,-1449.68
12020,3250,-154,-200.8799,0.4593,0.7016,0.9876,3866,10551.74,22555.8,56.52,2751.4,-1896.57,-1430.96
12030,3288,-174,-191.592,0.4472,0.7091,1.0142,4154,10567.47,22580.35,54.6,2783.4,-1875.41,-1412.85
12040,3362,-138,-128.6316,0.4548,0.7267,0.9961,4360,10585.28,22604.01,53.31,2846.3,-1853.44,-1394.72
12050,3397,-70,-70.9894,0.4477,0.7419,0.965,3934,10603.91,22627.57,52.6,2877.3,-1831.28,-1376.38
12060,3469,44,62.1408,0.4569,0.014,0.9912,3931,10622.14,22651.46,53.21,2938.2,-1809.23,-1356.99
12070,3506,116,95.8767,0.4475,-0.0245,1.0092,3631,10639.7,22675.38,54.17,2968.2,-1787.6,-1336.65
12080,3575,127,46.2332,-0.11,-0.0094,0.9816,3859,10656.91,22699.47,54.63,3027.3,-1765.87,-1315.55
12090,3570,53,-123.6615,-0.6609,0.5386,0.9914,4091,10674.08,22723.61,53.39,3021.2,-1743.67,-1295.03
12100,3518,-37,-230.2345,-0.0087,0.7806,0.9959,4124,10691.61,22747.79,51.09,2978.6,-1720.73,-1276.02
12110,3518,-117,-263.3712,0.0083,0.7842,1.0017,4166,10711.45,22770.59,48.45,2978.3,-1696.61,-1258.55
12120,3520,-174,-250.3878,0.4468,0.7836,1.0032,3813,10732.49,22792.34,45.94,2980.5,-1671.44,-1242.58
12130,3554,-146,-93.2889,0.4486,0.2764,1.005,3919,10753.42,22813.4,45.01,3010.0,-1645.63,-1227.07
12140,3553,-92,19.1075,-0.6362,-0.0058,0.9995,4164,10774.14,22834.15,45.19,3008.0,-1619.94,-1211.4
12150,3505,-21,77.2936,-0.635,0.0099,0.9968,4201,10794.65,22855.05,45.96,2966.5,-1595.03,-1195.27
12160,3405,16,0.701,-0.0198,0.8003,0.995,3871,10814.81,22876.29,45.97,2881.7,-1571.13,-1179.13
12170,3400,52,-60.5268,-0.0095,0.8033,1.0097,4050,10834.76,22898.11,45.36,2879.9,-1547.38,-1162.86
12180,3399,65,-108.7167,0.0242,0.7825,1.0019,3980,10856.26,22918.98,44.27,2879.4,-1523.46,-1146.83
12190,3401,29,-179.1832,0.4471,0.7885,1.0019,3589,10878.87,22939.39,42.47,2880.6,-1499.0,-1131.62
12200,3474,2,-132.9808,0.4409,0.0037,1.003,4115,10901.66,22959.6,41.14,2941.5,-1473.48,-1117.0
12210,3508,-57,-109.3645,0.4505,0.015,0.985,4458,10924.43,22979.12,40.05,2971.4,-1447.15,-1103.25
12220,3578,-116,-98.9524,-0.4353,0.0005,0.9925,4137,10947.48,22998.14,39.05,3030.5,-1419.82,-1090.16
12230,3545,-167,-158.2073,-0.6153,0.6106,1.0003,4370,10970.81,23016.86,37.47,3001.6,-1392.29,-1078.17
12240,3496,-149,-137.5853,-0.0177,0.7908,0.9999,4267,10994.32,23035.6,36.09,2958.8,-1364.89,-1066.94
12250,3494,-79,-76.2619,0.0129,0.7992,1.023,3973,11019.26,23052.88,35.32,2958.6,-1337.52,-1055.71
12260,3498,1,-43.4764,0.4509,0.79,1.0047,3903,11044.2,23069.64,34.89,2961.0,-1310.26,-1044.14
12270,3532,99,54.7558,0.4349,0.1816,0.9974,4149,11068.37,23086.54,35.43,2990.8,-1283.04,-1031.72
12280,3603,129,51.4145,-0.5624,0.0028,1.0009,4312,11092.01,23103.55,35.94,3049.4,-1255.5,-1018.58
12290,3559,99,-12.161,-0.6325,-0.0025,1.0097,4446,11115.56,23120.61,35.82,3013.0,-1228.25,-1005.69
12300,3461,-10,-176.6752,-0.0228,0.7783,0.9936,3840,11139.27,23137.53,34.05,2929.5,-1201.23,-994.33
12310,3457,-103,-259.0615,-0.0186,0.7954,0.996,3889,11163.48,23154.22,31.45,2927.9,-1173.59,-984.72
12320,3459,-164,-257.7803,0.032,0.8068,1.0091,4248,11189.42,23168.85,28.87,2927.7,-1145.37,-976.85
12330,3460,-184,-216.1594,0.4526,0.7953,0.9912,3948,11216.44,23182.27,26.71,2929.0,-1116.8,-970.34
12340,3527,-120,-46.978,0.4645,0.0063,1.0018,3856,11243.23,23195.42,26.24,2988.9,-1087.62,-963.92
12350,3566,-36,70.0551,0.4719,-0.015,1.0086,3867,11269.63,23208.61,26.93,3018.3,-1058.29,-956.73
12360,3625,46,105.9924,-0.6319,0.0108,0.995,4267,11295.81,23222.2,27.99,3071.2,-1028.78,-948.29
12370,3579,72,9.4038,-0.6239,0.7515,1.0042,3705,11321.77,23236.31,28.08,3030.5,-999.8,-939.42
12380,3529,73,-87.7191,-0.0197,0.803,0.9989,4000,11347.8,23250.96,27.2,2988.3,-971.18,-930.79
12390,3530,45,-156.016,0.0119,0.8034,1.0038,4118,11375.01,23264.19,25.64,2988.2,-942.32,-922.97
12400,3531,-21,-220.7572,0.4385,0.7939,0.9882,3954,11402.76,23276.13,23.43,2990.8,-913.11,-916.61
12410,3567,-65,-160.143,0.4507,0.0726,1.0002,4056,11430.13,23287.39,21.82,3020.3,-883.33,-911.58
12420,3603,-105,-101.5827,-0.2449,0.0036,0.9861,4002,11457.29,23297.98,20.8,3049.5,-853.09,-907.54
12430,3535,-129,-62.2033,-0.6443,0.0112,0.9972,4061,11484.55,23308.14,20.18,2992.8,-823.33,-904.24
12440,3484,-140,-93.1254,-0.6466,0.3943,0.9943,4344,11511.86,23318.15,19.24,2951.1,-793.94,-901.47
12450,3434,-102,-93.4672,-0.0014,0.7958,1.0122,3956,11539.3,23328.37,18.31,2907.3,-764.98,-898.9
12460,3433,-24,-53.7042,0.0026,0.7969,0.9902,3771,11567.52,23337.4,17.77,2906.8,-736.05,-896.08
12470,3435,40,-52.021,0.452,0.7907,0.9984,4262,11596.48,23345.72,17.24,2908.7,-707.13,-892.98
12480,3470,103,-0.9557,0.4552,0.4136,0.9905,4072,11625.75,23354.63,17.23,2939.0,-677.94,-889.49
12490,3542,107,1.7494,0.4534,-0.0049,0.9839,4019,11655.43,23363.87,17.24,2998.7,-648.15,-885.91
12500,3576,75,-31.7876,-0.5188,-0.0108,1.0084,4070,11672.52,23369.13,16.92,3028.1,-618.05,-882.63
